,CrimeGroup_Name,Latitude,Longitude
3103, CYBER CRIME,16.172285,75.659627
3079, CYBER CRIME,16.425083,75.111969
3142, CYBER CRIME,16.1805,75.696104
6225, CYBER CRIME,16.169683,75.687066
3245, CYBER CRIME,16.179243,75.694584
3232, CYBER CRIME,16.503007,75.293437
5767, CYBER CRIME,16.181637,75.697763
3229, CYBER CRIME,16.147435,75.727246
3234, CYBER CRIME,16.505467,75.67656
17348, CYBER CRIME,16.303466,75.172536
3230, CYBER CRIME,16.191201,75.710631
3124, CYBER CRIME,16.178395,75.663819
3231, CYBER CRIME,16.493294,75.15515
3225, CYBER CRIME,16.387995,75.110345
3141, CYBER CRIME,16.14519,75.653446
3224, CYBER CRIME,16.18613,75.584441
3178, CYBER CRIME,15.941009,75.872386
3240, CYBER CRIME,16.252816,75.254291
14632, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,16.03252,76.14496
11735, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,16.060143,76.0583169
18165, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,16.200388,75.532131
13614, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,15.57349,76.080071
14551, REPRESENTATION OF PEOPLE ACT 1951 & 1988,15.89391,76.111652
9739, REPRESENTATION OF PEOPLE ACT 1951 & 1988,16.370076,75.555109
10469,ADULTERATION,16.05071,75.795415
10470,ADULTERATION,16.045852,75.8074529
19102,AFFRAY,16.014411,75.546285
2292,AFFRAY,15.889541,75.70554
8082,ANIMAL,16.492182,75.158001
8017,ANIMAL,16.464251,75.106946
3001,ANIMAL,15.906968,75.497642
15506,ANIMAL,16.532091,75.201504
18156,ANIMAL,16.189089,75.595965
4412,ANIMAL,16.234884,75.85372
1109,ANTIQUES (CULTURAL PROPERTY),16.011294,75.0632
16098,ARMS ACT  1959,16.46832,75.288599
17285,ARMS ACT  1959,16.0,75.0
929,ARSON,15.976676,75.910613
16107,ARSON,16.456204,75.281657
5264,ASSAULT,16.185017,75.696232
5826,ATTEMPT TO MURDER,16.184628,75.712645
15723,ATTEMPT TO MURDER,16.525965,75.353422
4416,ATTEMPT TO MURDER,16.19444,75.80753
14363,ATTEMPT TO MURDER,16.015869,76.215386
12517,ATTEMPT TO MURDER,16.066702,76.060498
5284,ATTEMPT TO MURDER,16.308094,75.918923
16950,ATTEMPT TO MURDER,16.51167,75.274718
12443,ATTEMPT TO MURDER,16.187866,76.096784
5208,ATTEMPT TO MURDER,16.286015,76.015452
11884,ATTEMPT TO MURDER,16.057174,75.99279
2263,ATTEMPT TO MURDER,15.889682,75.475838
9863,ATTEMPT TO MURDER,16.242595,75.39188
14607,ATTEMPT TO MURDER,16.034795,76.222916
15936,ATTEMPT TO MURDER,16.332266,75.242309
14393,ATTEMPT TO MURDER,15.995413,76.190965
2248,ATTEMPT TO MURDER,15.922845,75.464683
8022,ATTEMPT TO MURDER,16.465187,75.130216
18140,ATTEMPT TO MURDER,16.189834,75.560121
4192,ATTEMPT TO MURDER,16.181416,75.8536419
5827,ATTEMPT TO MURDER,16.19046,75.704493
18389,ATTEMPT TO MURDER,16.206507,75.497892
19329,ATTEMPT TO MURDER,16.110989,75.660906
18060,ATTEMPT TO MURDER,16.158795,75.59055
19123,ATTEMPT TO MURDER,16.059163,75.645833
12029,ATTEMPT TO MURDER,16.179743,76.028121
990,ATTEMPT TO MURDER,16.057434,75.948134
15721,ATTEMPT TO MURDER,16.433671,75.360444
19206,ATTEMPT TO MURDER,16.111765,75.661021
12502,ATTEMPT TO MURDER,16.202631,76.060942
4775,ATTEMPT TO MURDER,16.31613,75.907671
2107,ATTEMPT TO MURDER,15.918626,75.472241
4888,ATTEMPT TO MURDER,16.166346,75.904344
17941,ATTEMPT TO MURDER,16.231339,75.557893
7532,ATTEMPT TO MURDER,16.499805,75.144101
19158,ATTEMPT TO MURDER,16.132478,75.579921
15425,ATTEMPT TO MURDER,16.510265,75.387213
11862,ATTEMPT TO MURDER,16.112579,76.031188
14609,ATTEMPT TO MURDER,16.033923,76.231569
14395,ATTEMPT TO MURDER,15.990182,76.19948
11883,ATTEMPT TO MURDER,16.059476,76.034656
16724,ATTEMPT TO MURDER,16.505857,75.291435
5210,ATTEMPT TO MURDER,16.278168,76.01397
2249,ATTEMPT TO MURDER,15.922817,75.464708
8069,ATTEMPT TO MURDER,16.466015,75.179597
6264,ATTEMPT TO MURDER,16.184661,75.704981
14502,ATTEMPT TO MURDER,16.017277,76.282196
14388,ATTEMPT TO MURDER,15.920254,76.086764
7841,ATTEMPT TO MURDER,16.479769,75.210052
4172,ATTEMPT TO MURDER,16.297835,75.893286
4271,ATTEMPT TO MURDER,16.229555,75.955575
5068,ATTEMPT TO MURDER,16.312609,75.853963
9062,ATTEMPT TO MURDER,16.346795,75.621988
14394,ATTEMPT TO MURDER,15.989729,76.199735
774,ATTEMPT TO MURDER,16.019699,75.879609
19121,ATTEMPT TO MURDER,16.061072,75.62273
5790,ATTEMPT TO MURDER,16.18668,75.698987
18146,ATTEMPT TO MURDER,16.165909,75.482349
775,ATTEMPT TO MURDER,16.019711,75.879642
13707,ATTEMPT TO MURDER,15.00573,75.012106
5268,ATTEMPT TO MURDER,16.156643,75.678564
19156,ATTEMPT TO MURDER,16.132278,75.579822
14599,ATTEMPT TO MURDER,16.032857,76.232745
7751,ATTEMPT TO MURDER,16.472357,75.117681
9873,ATTEMPT TO MURDER,16.37551,75.52796
6208,Attempting to commit offences,16.18116,75.413132
5959,Attempting to commit offences,16.178552,75.681341
12512,Attempting to commit offences,16.052796,76.065716
7788,Attempting to commit offences,16.525559,75.165324
15616,BURGLARY - DAY,16.523019,75.390566
2060,BURGLARY - DAY,15.937494,75.433622
2578,BURGLARY - DAY,15.918064,75.679403
9832,BURGLARY - DAY,16.0,75.0
9818,BURGLARY - DAY,16.34059,75.63348
14203,BURGLARY - DAY,16.103863,76.16586
19543,BURGLARY - DAY,16.104293,75.544999
18342,BURGLARY - DAY,16.155615,75.603928
2648,BURGLARY - DAY,15.851998,75.556472
2206,BURGLARY - DAY,15.912563,75.68485
715,BURGLARY - DAY,16.10506,75.86518
9868,BURGLARY - DAY,16.230776,75.633988
15774,BURGLARY - DAY,16.514222,75.272901
11722,BURGLARY - DAY,16.063826,76.060563
15347,BURGLARY - NIGHT,16.434568,75.359657
5700,BURGLARY - NIGHT,16.172535,75.655721
2237,BURGLARY - NIGHT,15.958833,75.790148
2481,BURGLARY - NIGHT,15.908784,75.685969
2199,BURGLARY - NIGHT,15.908553,75.500462
17358,BURGLARY - NIGHT,16.51036,75.28064
